CreatedOn,Weekday,WeekdayN,WeekNumber,RN,PropertyCode,Stay Month
2017-03-31,5,Fri,13,7,ZIL,2018-12-01
2017-05-05,5,Fri,18,26,CDM,2018-12-01
2017-05-09,2,Tue,19,26,CDM,2018-12-01
2017-05-19,5,Fri,20,9,LAG,2018-12-01
2017-07-04,2,Tue,27,1,PCH,2018-12-01
2017-07-31,1,Mon,31,5,RAV,2018-12-01
2017-09-15,5,Fri,37,2,ZIL,2018-12-01
2017-10-03,2,Tue,40,5,ZIL,2018-12-01
2017-10-17,2,Tue,42,14,ZIL,2018-12-01
2017-10-30,1,Mon,44,44,LAG,2018-12-01
2017-10-30,1,Mon,44,18,ZIL,2018-12-01
2017-11-01,3,Wed,44,9,LAG,2018-12-01
2017-11-06,1,Mon,45,7,LAG,2018-12-01
2017-11-06,1,Mon,45,7,REC,2018-12-01
2017-11-09,4,Thu,45,14,ZIL,2018-12-01
2017-11-13,1,Mon,46,16,LAG,2018-12-01
2017-11-13,1,Mon,46,2,RAV,2018-12-01
2017-11-15,3,Wed,46,2,LAG,2018-12-01
2017-11-21,2,Tue,47,38,ZIL,2018-12-01
2017-11-30,4,Thu,48,3,FRI,2018-12-01
2017-12-05,2,Tue,49,7,PCH,2018-12-01
2017-12-15,5,Fri,50,6,RAV,2018-12-01
2017-12-18,1,Mon,51,10,ZIL,2018-12-01
2017-12-20,3,Wed,51,5,REC,2018-12-01
2017-12-20,3,Wed,51,5,TRO,2018-12-01
2017-12-21,4,Thu,51,6,ZIL,2018-12-01
2017-12-22,5,Fri,51,1,LAG,2018-12-01
2017-12-22,5,Fri,51,11,ZIL,2018-12-01
2017-12-26,2,Tue,52,2,RAV,2018-12-01
2017-12-26,2,Tue,52,4,EBA,2018-12-01
2017-12-28,4,Thu,52,14,LAG,2018-12-01
2017-12-28,4,Thu,52,2,REC,2018-12-01
2017-12-29,5,Fri,52,1,FRI,2018-12-01
2017-12-29,5,Fri,52,13,TRO,2018-12-01
2017-12-29,5,Fri,52,10,EBA,2018-12-01
2018-01-02,2,Tue,1,23,EBA,2018-12-01
2018-01-03,3,Wed,1,7,EBA,2018-12-01
2018-01-03,3,Wed,1,14,TRO,2018-12-01
2018-01-03,3,Wed,1,29,LAG,2018-12-01
2018-01-03,3,Wed,1,4,ZIL,2018-12-01
2018-01-04,4,Thu,1,28,CDM,2018-12-01
2018-01-04,4,Thu,1,2,RAV,2018-12-01
2018-01-04,4,Thu,1,2,PCH,2018-12-01
2018-01-04,4,Thu,1,3,TRO,2018-12-01
2018-01-04,4,Thu,1,40,LAG,2018-12-01
2018-01-05,5,Fri,1,14,CDM,2018-12-01
2018-01-05,5,Fri,1,5,ZIL,2018-12-01
2018-01-08,1,Mon,2,5,PCH,2018-12-01
2018-01-08,1,Mon,2,32,CDM,2018-12-01
2018-01-08,1,Mon,2,3,RAV,2018-12-01
2018-01-08,1,Mon,2,18,ZIL,2018-12-01
2018-01-08,1,Mon,2,24,TRO,2018-12-01
2018-01-09,2,Tue,2,24,LAG,2018-12-01
2018-01-10,3,Wed,2,3,EBA,2018-12-01
2018-01-10,3,Wed,2,21,CDM,2018-12-01
2018-01-10,3,Wed,2,7,FRI,2018-12-01
2018-01-10,3,Wed,2,6,ZIL,2018-12-01
2018-01-11,4,Thu,2,4,CDM,2018-12-01
2018-01-11,4,Thu,2,10,TRO,2018-12-01
2018-01-11,4,Thu,2,1,EBA,2018-12-01
2018-01-12,5,Fri,2,5,EBA,2018-12-01
2018-01-12,5,Fri,2,3,TRO,2018-12-01
2018-01-12,5,Fri,2,11,LAG,2018-12-01
2018-01-12,5,Fri,2,10,CDM,2018-12-01
2018-01-12,5,Fri,2,29,ZIL,2018-12-01
2018-01-15,1,Mon,3,46,EBA,2018-12-01
2018-01-15,1,Mon,3,9,CDM,2018-12-01
2018-01-15,1,Mon,3,1,PCH,2018-12-01
2018-01-15,1,Mon,3,6,RAV,2018-12-01
2018-01-15,1,Mon,3,10,ZIL,2018-12-01
2018-01-15,1,Mon,3,14,TRO,2018-12-01
2018-01-16,2,Tue,3,20,REC,2018-12-01
2018-01-16,2,Tue,3,5,PCH,2018-12-01
2018-01-16,2,Tue,3,10,RAV,2018-12-01
2018-01-16,2,Tue,3,10,ZIL,2018-12-01
2018-01-16,2,Tue,3,46,LAG,2018-12-01
2018-01-19,5,Fri,3,6,EBA,2018-12-01
2018-01-19,5,Fri,3,60,LAG,2018-12-01
2018-01-19,5,Fri,3,8,FRI,2018-12-01
2018-01-22,1,Mon,4,10,EBA,2018-12-01
2018-01-22,1,Mon,4,10,REC,2018-12-01
2018-01-23,2,Tue,4,8,RAV,2018-12-01
2018-01-23,2,Tue,4,73,ZIL,2018-12-01
2018-01-23,2,Tue,4,8,FRI,2018-12-01
2018-01-23,2,Tue,4,18,CDM,2018-12-01
2018-01-23,2,Tue,4,15,LAG,2018-12-01
2018-01-24,3,Wed,4,2,CDM,2018-12-01
2018-01-24,3,Wed,4,10,PCH,2018-12-01
2018-01-24,3,Wed,4,20,LAG,2018-12-01
2018-01-24,3,Wed,4,21,EBA,2018-12-01
2018-01-25,4,Thu,4,16,RAV,2018-12-01
