date,year,Weekday,weekdayf,week,monthf,RN,PropertyCode,StayMonth
2018-03-26,2018,1,Mon,13,Mar,14,ZIL,2019-12-01
2018-05-02,2018,3,Wed,18,May,9,ZIL,2019-12-01
2018-05-22,2018,2,Tue,21,May,10,ZIL,2019-12-01
2018-05-25,2018,5,Fri,21,May,12,TRO,2019-12-01
2018-07-09,2018,1,Mon,28,Jul,9,ZIL,2019-12-01
2018-10-01,2018,1,Mon,40,Oct,14,RAV,2019-12-01
2018-10-17,2018,3,Wed,42,Oct,4,CDM,2019-12-01
2018-10-24,2018,3,Wed,43,Oct,14,RAV,2019-12-01
2018-11-12,2018,1,Mon,46,Nov,9,LAG,2019-12-01
2018-11-12,2018,1,Mon,46,Nov,14,ZIL,2019-12-01
2018-11-16,2018,5,Fri,46,Nov,20,CDM,2019-12-01
2018-11-23,2018,5,Fri,47,Nov,1,ZIL,2019-12-01
2018-11-28,2018,3,Wed,48,Nov,1,PCH,2019-12-01
2018-11-29,2018,4,Thu,48,Nov,1,ZIL,2019-12-01
2018-12-03,2018,1,Mon,49,Dec,7,RAV,2019-12-01
2018-12-07,2018,5,Fri,49,Dec,3,FRI,2019-12-01
2018-12-11,2018,2,Tue,50,Dec,1,CDM,2019-12-01
2018-12-11,2018,2,Tue,50,Dec,7,ZIL,2019-12-01
2018-12-17,2018,1,Mon,51,Dec,1,RAV,2019-12-01
2018-12-18,2018,2,Tue,51,Dec,23,EBA,2019-12-01
2018-12-20,2018,4,Thu,51,Dec,9,LAG,2019-12-01
2018-12-21,2018,5,Fri,51,Dec,14,LAG,2019-12-01
2018-12-26,2018,3,Wed,52,Dec,10,RAV,2019-12-01
2018-12-31,2018,1,Mon,53,Dec,2,ZIL,2019-12-01
2018-12-31,2018,1,Mon,53,Dec,6,RAV,2019-12-01
2018-12-31,2018,1,Mon,53,Dec,14,EBA,2019-12-01
2019-01-02,2019,3,Wed,1,Jan,6,TRO,2019-12-01
2019-01-03,2019,4,Thu,1,Jan,7,ZIL,2019-12-01
2019-01-03,2019,4,Thu,1,Jan,21,RAV,2019-12-01
2019-01-03,2019,4,Thu,1,Jan,14,EBA,2019-12-01
2019-01-03,2019,4,Thu,1,Jan,5,TRO,2019-12-01
2019-01-04,2019,5,Fri,1,Jan,15,ZIL,2019-12-01
2019-01-04,2019,5,Fri,1,Jan,9,LAG,2019-12-01
2019-01-07,2019,1,Mon,2,Jan,13,EBA,2019-12-01
2019-01-07,2019,1,Mon,2,Jan,10,TRO,2019-12-01
2019-01-07,2019,1,Mon,2,Jan,4,PCH,2019-12-01
