date,MmmYY,year,Weekday,weekdayf,week,monthf,RN,PropertyCode,market,StayMonth
2018-03-26,Mar18,2018,1,Mon,13,Mar,14,ZIL,United Kingdom,2019-12-01
2018-05-02,May18,2018,3,Wed,18,May,9,ZIL,United Kingdom,2019-12-01
2018-05-22,May18,2018,2,Tue,21,May,10,ZIL,United Kingdom,2019-12-01
2018-05-25,May18,2018,5,Fri,21,May,12,TRO,United Kingdom,2019-12-01
2018-07-09,Jul18,2018,1,Mon,28,Jul,9,ZIL,United Kingdom,2019-12-01
2018-10-01,Oct18,2018,1,Mon,40,Oct,14,RAV,United Kingdom,2019-12-01
2018-10-17,Oct18,2018,3,Wed,42,Oct,4,CDM,France,2019-12-01
2018-10-24,Oct18,2018,3,Wed,43,Oct,14,RAV,United Kingdom,2019-12-01
2018-11-12,Nov18,2018,1,Mon,46,Nov,9,LAG,United Kingdom,2019-12-01
2018-11-12,Nov18,2018,1,Mon,46,Nov,14,ZIL,United Kingdom,2019-12-01
2018-11-16,Nov18,2018,5,Fri,46,Nov,20,CDM,France,2019-12-01
2018-11-23,Nov18,2018,5,Fri,47,Nov,1,ZIL,United Kingdom,2019-12-01
2018-11-28,Nov18,2018,3,Wed,48,Nov,1,PCH,United Kingdom,2019-12-01
2018-11-29,Nov18,2018,4,Thu,48,Nov,1,ZIL,United Kingdom,2019-12-01
2018-12-03,Dec18,2018,1,Mon,49,Dec,7,RAV,United Kingdom,2019-12-01
2018-12-07,Dec18,2018,5,Fri,49,Dec,3,FRI,France,2019-12-01
2018-12-11,Dec18,2018,2,Tue,50,Dec,1,CDM,France,2019-12-01
2018-12-11,Dec18,2018,2,Tue,50,Dec,7,ZIL,United Kingdom,2019-12-01
2018-12-17,Dec18,2018,1,Mon,51,Dec,1,RAV,United Kingdom,2019-12-01
2018-12-18,Dec18,2018,2,Tue,51,Dec,23,EBA,United Kingdom,2019-12-01
2018-12-20,Dec18,2018,4,Thu,51,Dec,9,LAG,United Kingdom,2019-12-01
2018-12-21,Dec18,2018,5,Fri,51,Dec,14,LAG,United Kingdom,2019-12-01
2018-12-26,Dec18,2018,3,Wed,52,Dec,10,RAV,United Kingdom,2019-12-01
2018-12-31,Dec18,2018,1,Mon,53,Dec,2,ZIL,Germany,2019-12-01
2018-12-31,Dec18,2018,1,Mon,53,Dec,4,RAV,OTA,2019-12-01
2018-12-31,Dec18,2018,1,Mon,53,Dec,2,RAV,United Kingdom,2019-12-01
2018-12-31,Dec18,2018,1,Mon,53,Dec,14,EBA,United Kingdom,2019-12-01
2019-01-03,Jan19,2019,4,Thu,1,Jan,14,RAV,Germany,2019-12-01
2019-01-03,Jan19,2019,4,Thu,1,Jan,7,RAV,United Kingdom,2019-12-01
2019-01-03,Jan19,2019,4,Thu,1,Jan,5,TRO,United Kingdom,2019-12-01
2019-01-03,Jan19,2019,4,Thu,1,Jan,14,EBA,United Kingdom,2019-12-01
2019-01-03,Jan19,2019,4,Thu,1,Jan,7,ZIL,United Kingdom,2019-12-01
2019-01-04,Jan19,2019,5,Fri,1,Jan,9,LAG,United Kingdom,2019-12-01
2019-01-04,Jan19,2019,5,Fri,1,Jan,15,ZIL,United Kingdom,2019-12-01
2019-01-07,Jan19,2019,1,Mon,2,Jan,4,PCH,United Kingdom,2019-12-01
2019-01-07,Jan19,2019,1,Mon,2,Jan,9,RAV,United Kingdom,2019-12-01
2019-01-07,Jan19,2019,1,Mon,2,Jan,10,TRO,United Kingdom,2019-12-01
2019-01-07,Jan19,2019,1,Mon,2,Jan,28,ZIL,United Kingdom,2019-12-01
2019-01-07,Jan19,2019,1,Mon,2,Jan,13,EBA,United Kingdom,2019-12-01
2019-01-08,Jan19,2019,2,Tue,2,Jan,13,TRO,United Kingdom,2019-12-01
2019-01-08,Jan19,2019,2,Tue,2,Jan,11,FRI,United Kingdom,2019-12-01
2019-01-08,Jan19,2019,2,Tue,2,Jan,25,RAV,United Kingdom,2019-12-01
2019-01-08,Jan19,2019,2,Tue,2,Jan,48,ZIL,United Kingdom,2019-12-01
2019-01-08,Jan19,2019,2,Tue,2,Jan,25,LAG,United Kingdom,2019-12-01
2019-01-09,Jan19,2019,3,Wed,2,Jan,12,RAV,United Kingdom,2019-12-01
2019-01-09,Jan19,2019,3,Wed,2,Jan,9,ZIL,United Kingdom,2019-12-01
2019-01-10,Jan19,2019,4,Thu,2,Jan,11,RAV,United Kingdom,2019-12-01
2019-01-11,Jan19,2019,5,Fri,2,Jan,2,ZIL,OTA,2019-12-01
2019-01-11,Jan19,2019,5,Fri,2,Jan,10,PCH,United Kingdom,2019-12-01
2019-01-11,Jan19,2019,5,Fri,2,Jan,15,ZIL,United Kingdom,2019-12-01
2019-01-14,Jan19,2019,1,Mon,3,Jan,1,CDM,France,2019-12-01
2019-01-14,Jan19,2019,1,Mon,3,Jan,8,CDM,United Kingdom,2019-12-01
2019-01-14,Jan19,2019,1,Mon,3,Jan,27,ZIL,United Kingdom,2019-12-01
2019-01-15,Jan19,2019,2,Tue,3,Jan,29,ZIL,United Kingdom,2019-12-01
2019-01-15,Jan19,2019,2,Tue,3,Jan,12,CDM,France,2019-12-01
2019-01-15,Jan19,2019,2,Tue,3,Jan,4,EBA,United Kingdom,2019-12-01
2019-01-15,Jan19,2019,2,Tue,3,Jan,15,LAG,United Kingdom,2019-12-01
2019-01-16,Jan19,2019,3,Wed,3,Jan,14,TRO,United Kingdom,2019-12-01
2019-01-16,Jan19,2019,3,Wed,3,Jan,21,ZIL,United Kingdom,2019-12-01
2019-01-17,Jan19,2019,4,Thu,3,Jan,1,CDM,France,2019-12-01
2019-01-17,Jan19,2019,4,Thu,3,Jan,8,ZIL,France,2019-12-01
2019-01-18,Jan19,2019,5,Fri,3,Jan,3,FRI,France,2019-12-01
2019-01-18,Jan19,2019,5,Fri,3,Jan,8,PCH,United Kingdom,2019-12-01
2019-01-18,Jan19,2019,5,Fri,3,Jan,10,ZIL,United Kingdom,2019-12-01
2019-01-18,Jan19,2019,5,Fri,3,Jan,12,ZIL,France,2019-12-01
2019-01-21,Jan19,2019,1,Mon,4,Jan,6,EBA,United Kingdom,2019-12-01
2019-01-21,Jan19,2019,1,Mon,4,Jan,10,TRO,United Kingdom,2019-12-01
2019-01-21,Jan19,2019,1,Mon,4,Jan,17,REC,United Kingdom,2019-12-01
2019-01-22,Jan19,2019,2,Tue,4,Jan,14,FRI,France,2019-12-01
2019-01-22,Jan19,2019,2,Tue,4,Jan,9,RAV,United Kingdom,2019-12-01
2019-01-22,Jan19,2019,2,Tue,4,Jan,11,REC,United Kingdom,2019-12-01
2019-01-22,Jan19,2019,2,Tue,4,Jan,1,EBA,United Kingdom,2019-12-01
2019-01-22,Jan19,2019,2,Tue,4,Jan,9,LAG,United Kingdom,2019-12-01
2019-01-22,Jan19,2019,2,Tue,4,Jan,24,RAV,France,2019-12-01
2019-01-22,Jan19,2019,2,Tue,4,Jan,7,TRO,United Kingdom,2019-12-01
2019-01-23,Jan19,2019,3,Wed,4,Jan,4,CDM,United Kingdom,2019-12-01
2019-01-23,Jan19,2019,3,Wed,4,Jan,55,ZIL,United Kingdom,2019-12-01
2019-01-23,Jan19,2019,3,Wed,4,Jan,7,ZIL,France,2019-12-01
2019-01-24,Jan19,2019,4,Thu,4,Jan,9,EBA,United Kingdom,2019-12-01
2019-01-24,Jan19,2019,4,Thu,4,Jan,14,ZIL,France,2019-12-01
2019-01-24,Jan19,2019,4,Thu,4,Jan,18,ZIL,United Kingdom,2019-12-01
2019-01-25,Jan19,2019,5,Fri,4,Jan,9,ZIL,United Kingdom,2019-12-01
2019-01-25,Jan19,2019,5,Fri,4,Jan,9,LAG,United Kingdom,2019-12-01
2019-01-28,Jan19,2019,1,Mon,5,Jan,7,ZIL,France,2019-12-01
2019-01-28,Jan19,2019,1,Mon,5,Jan,18,ZIL,United Kingdom,2019-12-01
2019-01-28,Jan19,2019,1,Mon,5,Jan,4,FRI,United Kingdom,2019-12-01
2019-01-28,Jan19,2019,1,Mon,5,Jan,9,PCH,OTA,2019-12-01
2019-01-28,Jan19,2019,1,Mon,5,Jan,1,RAV,United Kingdom,2019-12-01
2019-01-28,Jan19,2019,1,Mon,5,Jan,10,TRO,United Kingdom,2019-12-01
2019-01-28,Jan19,2019,1,Mon,5,Jan,7,PCH,United Kingdom,2019-12-01
2019-01-28,Jan19,2019,1,Mon,5,Jan,14,EBA,United Kingdom,2019-12-01
2019-01-28,Jan19,2019,1,Mon,5,Jan,24,FRI,France,2019-12-01
2019-01-29,Jan19,2019,2,Tue,5,Jan,9,ZIL,United Kingdom,2019-12-01
2019-01-30,Jan19,2019,3,Wed,5,Jan,7,RAV,United Kingdom,2019-12-01
2019-01-31,Jan19,2019,4,Thu,5,Jan,23,ZIL,United Kingdom,2019-12-01
2019-01-31,Jan19,2019,4,Thu,5,Jan,7,LAG,United Kingdom,2019-12-01
2019-02-01,Feb19,2019,5,Fri,5,Feb,2,LAG,United Kingdom,2019-12-01
2019-02-01,Feb19,2019,5,Fri,5,Feb,5,CDM,United Kingdom,2019-12-01
2019-02-04,Feb19,2019,1,Mon,6,Feb,1,CDM,France,2019-12-01
2019-02-04,Feb19,2019,1,Mon,6,Feb,12,TRO,Germany,2019-12-01
2019-02-04,Feb19,2019,1,Mon,6,Feb,14,ZIL,France,2019-12-01
2019-02-04,Feb19,2019,1,Mon,6,Feb,4,PCH,United Kingdom,2019-12-01
2019-02-04,Feb19,2019,1,Mon,6,Feb,7,REC,France,2019-12-01
2019-02-04,Feb19,2019,1,Mon,6,Feb,2,ZIL,United Kingdom,2019-12-01
2019-02-04,Feb19,2019,1,Mon,6,Feb,14,ZIL,Germany,2019-12-01
2019-02-06,Feb19,2019,3,Wed,6,Feb,9,RAV,United Kingdom,2019-12-01
2019-02-06,Feb19,2019,3,Wed,6,Feb,17,ZIL,Germany,2019-12-01
2019-02-06,Feb19,2019,3,Wed,6,Feb,5,CDM,France,2019-12-01
2019-02-06,Feb19,2019,3,Wed,6,Feb,27,ZIL,United Kingdom,2019-12-01
2019-02-07,Feb19,2019,4,Thu,6,Feb,19,FRI,United Kingdom,2019-12-01
2019-02-07,Feb19,2019,4,Thu,6,Feb,14,CDM,France,2019-12-01
2019-02-07,Feb19,2019,4,Thu,6,Feb,6,CDM,OTA,2019-12-01
2019-02-07,Feb19,2019,4,Thu,6,Feb,7,ZIL,Germany,2019-12-01
2019-02-07,Feb19,2019,4,Thu,6,Feb,26,ZIL,United Kingdom,2019-12-01
2019-02-08,Feb19,2019,5,Fri,6,Feb,32,ZIL,United Kingdom,2019-12-01
2019-02-11,Feb19,2019,1,Mon,7,Feb,3,CDM,OTA,2019-12-01
2019-02-12,Feb19,2019,2,Tue,7,Feb,9,CDM,Germany,2019-12-01
2019-02-12,Feb19,2019,2,Tue,7,Feb,9,CDM,France,2019-12-01
2019-02-12,Feb19,2019,2,Tue,7,Feb,11,RAV,United Kingdom,2019-12-01
2019-02-12,Feb19,2019,2,Tue,7,Feb,2,TRO,Germany,2019-12-01
2019-02-12,Feb19,2019,2,Tue,7,Feb,8,ZIL,United Kingdom,2019-12-01
2019-02-13,Feb19,2019,3,Wed,7,Feb,9,CDM,France,2019-12-01
2019-02-13,Feb19,2019,3,Wed,7,Feb,13,RAV,United Kingdom,2019-12-01
2019-02-13,Feb19,2019,3,Wed,7,Feb,3,TRO,France,2019-12-01
2019-02-14,Feb19,2019,4,Thu,7,Feb,6,EBA,France,2019-12-01
2019-02-14,Feb19,2019,4,Thu,7,Feb,15,TRO,France,2019-12-01
2019-02-14,Feb19,2019,4,Thu,7,Feb,14,ZIL,Germany,2019-12-01
2019-02-14,Feb19,2019,4,Thu,7,Feb,9,LAG,United Kingdom,2019-12-01
2019-02-14,Feb19,2019,4,Thu,7,Feb,22,EBA,Germany,2019-12-01
2019-02-14,Feb19,2019,4,Thu,7,Feb,12,FRI,OTA,2019-12-01
2019-02-14,Feb19,2019,4,Thu,7,Feb,13,TRO,Germany,2019-12-01
2019-02-14,Feb19,2019,4,Thu,7,Feb,5,ZIL,United Kingdom,2019-12-01
2019-02-15,Feb19,2019,5,Fri,7,Feb,10,PCH,France,2019-12-01
2019-02-15,Feb19,2019,5,Fri,7,Feb,28,ZIL,United Kingdom,2019-12-01
2019-02-15,Feb19,2019,5,Fri,7,Feb,12,FRI,United Kingdom,2019-12-01
2019-02-15,Feb19,2019,5,Fri,7,Feb,10,ZIL,Germany,2019-12-01
2019-02-18,Feb19,2019,1,Mon,8,Feb,15,FRI,France,2019-12-01
2019-02-18,Feb19,2019,1,Mon,8,Feb,17,EBA,Germany,2019-12-01
2019-02-18,Feb19,2019,1,Mon,8,Feb,12,FRI,United Kingdom,2019-12-01
2019-02-18,Feb19,2019,1,Mon,8,Feb,14,EBA,United Kingdom,2019-12-01
2019-02-19,Feb19,2019,2,Tue,8,Feb,28,ZIL,United Kingdom,2019-12-01
2019-02-20,Feb19,2019,3,Wed,8,Feb,22,CDM,Germany,2019-12-01
2019-02-21,Feb19,2019,4,Thu,8,Feb,30,EBA,United Kingdom,2019-12-01
2019-02-22,Feb19,2019,5,Fri,8,Feb,41,ZIL,United Kingdom,2019-12-01
2019-02-25,Feb19,2019,1,Mon,9,Feb,7,REC,Germany,2019-12-01
2019-02-25,Feb19,2019,1,Mon,9,Feb,14,LAG,United Kingdom,2019-12-01
2019-02-25,Feb19,2019,1,Mon,9,Feb,56,FRI,France,2019-12-01
2019-02-25,Feb19,2019,1,Mon,9,Feb,18,RAV,United Kingdom,2019-12-01
2019-02-26,Feb19,2019,2,Tue,9,Feb,7,RAV,United Kingdom,2019-12-01
2019-02-26,Feb19,2019,2,Tue,9,Feb,5,REC,Germany,2019-12-01
2019-02-26,Feb19,2019,2,Tue,9,Feb,7,CDM,France,2019-12-01
2019-02-26,Feb19,2019,2,Tue,9,Feb,7,EBA,United Kingdom,2019-12-01
2019-02-27,Feb19,2019,3,Wed,9,Feb,10,CDM,France,2019-12-01
2019-02-27,Feb19,2019,3,Wed,9,Feb,6,REC,France,2019-12-01
2019-02-27,Feb19,2019,3,Wed,9,Feb,11,ZIL,United Kingdom,2019-12-01
2019-02-28,Feb19,2019,4,Thu,9,Feb,1,REC,France,2019-12-01
2019-02-28,Feb19,2019,4,Thu,9,Feb,8,FRI,United Kingdom,2019-12-01
2019-02-28,Feb19,2019,4,Thu,9,Feb,20,ZIL,Germany,2019-12-01
2019-03-01,Mar19,2019,5,Fri,9,Mar,1,ZIL,United Kingdom,2019-12-01
2019-03-01,Mar19,2019,5,Fri,9,Mar,14,LAG,United Kingdom,2019-12-01
2019-03-04,Mar19,2019,1,Mon,10,Mar,14,TRO,United Kingdom,2019-12-01
2019-03-04,Mar19,2019,1,Mon,10,Mar,3,CDM,Germany,2019-12-01
2019-03-05,Mar19,2019,2,Tue,10,Mar,11,ZIL,Germany,2019-12-01
2019-03-06,Mar19,2019,3,Wed,10,Mar,5,FRI,France,2019-12-01
2019-03-06,Mar19,2019,3,Wed,10,Mar,6,RAV,United Kingdom,2019-12-01
2019-03-06,Mar19,2019,3,Wed,10,Mar,28,ZIL,United Kingdom,2019-12-01
2019-03-06,Mar19,2019,3,Wed,10,Mar,2,ZIL,France,2019-12-01
2019-03-07,Mar19,2019,4,Thu,10,Mar,7,ZIL,United Kingdom,2019-12-01
2019-03-08,Mar19,2019,5,Fri,10,Mar,11,ZIL,United Kingdom,2019-12-01
2019-03-08,Mar19,2019,5,Fri,10,Mar,1,REC,OTA,2019-12-01
2019-03-11,Mar19,2019,1,Mon,11,Mar,14,CDM,France,2019-12-01
2019-03-11,Mar19,2019,1,Mon,11,Mar,8,ZIL,United Kingdom,2019-12-01
2019-03-11,Mar19,2019,1,Mon,11,Mar,15,RAV,United Kingdom,2019-12-01
2019-03-11,Mar19,2019,1,Mon,11,Mar,7,TRO,United Kingdom,2019-12-01
2019-03-11,Mar19,2019,1,Mon,11,Mar,4,PCH,United Kingdom,2019-12-01
2019-03-11,Mar19,2019,1,Mon,11,Mar,5,REC,United Kingdom,2019-12-01
